Post ID,Page ID,Page name,Title,Description,Duration (sec),Publish time,Caption type,Permalink,Is crosspost,Is share,Post type,Languages,Custom labels,Funded content status,Data comment,Date,Views
1.39E+15,1.00E+14,Adelaide Nepal,"One single room is available for rent in Hove.
Hello everyone,
We are a friendly couple looking for a single boy or girl, non-smoker, no pets to share our 3-bedroom unit. The location is very convenient for public transport
• 3 min walk to the bus stop, 
• 8 min walk to the train station. 
It is also 6 min drive to Westfield Marion and 6 min drive to Brighton Jetty. The room is suitable for students or working professionals. We are looking for someone who is clean, respectful, and easy-going. For more details, please text on 0416430372. Thank you.",,0,"Wednesday, April 8, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid02M3rUZTekr5tPTi384VBH9JnNWx6VUMs4dRAKhNafFk6M9By29kNwyL3Gn1ZpzHfZl,0,0,Text,,,,,Lifetime,1788
1.39E+15,1.00E+14,Adelaide Nepal,"One semi furnished room(with wardrobe and a side table)  available in a very secured 2 bedrooms unit in Plympton for a single girl. Rent is 210 including  Gas. 
Close to Kurralta park shopping centre and 1 minutes walk to Anzac highway stop 8. The room is available from April 21
Text for more details on: 0410214712, 0423482710",,0,"Tuesday, April 14, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0RrEQEX1YXpNgPB8XrKaubFgAv2CiXEoCTqYomy3xD9CD9oNEAHWaDYW4Y3HWEeNbl,0,0,Text,,,,,Lifetime,0
1.39E+15,1.00E+14,Adelaide Nepal,"MARMARACLAD
HEBEL I FOAM I BLUEBOARD | CFC
WE ARE HIRING!
CFC / LINEA CLADDING
& HEBEL PANEL WORKERS
CFC / LINEA CLADDING
• Cladding Installation
• Cutting & Fitting
• Screw Fixing
HEBEL PANEL INSTALLATION
• Large AAC Panel Installation
• Adhesive Application
• Panel Alignment & Fixing
APPLY NOW
0450 100 364
Marmaraclad@gmail.com",,0,"Tuesday, April 14, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid02Tk6WRwjZCgzuTzzDALw6hB79nwqb59ezHyfjHq5CVizHizWYwyoe4PHfcWJx1w97l,0,0,Text,,,,,Lifetime,2458
1.39E+15,1.00E+14,Adelaide Nepal,"‼️ 1-bedroom is available for a male or female in a 3-bedroom house located in Plympton/Netley. The room comes with a built-in robe and is unfurnished. The house is conveniently located just a 4-minute walk to public transport and a 14-minute drive to the city. Parking is also available. The room will be available from 20th April. For more information or to arrange an inspection, please contact 0451 712 171.",,0,"Tuesday, April 14, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0295AmQm4ZAfBg85jE93wcBGNNbdKFEFiZLiEgVcZwKvXZs2QMjfcFRQmB935RLsz9l,0,0,Text,,,,,Lifetime,684
1.39E+15,1.00E+14,Adelaide Nepal,"Property coming soon:

30C Ashfield Road, Elizabeth SA 5112
            3 Bedrooms  2 Bathroom  1 Carspaces

2/39A Myall Avenue, Murray Bridge SA 5253 ($430 per week )
         2 Bedrooms  1 Bathroom  1 Carspaces

3 Redlac Road, Morphett Vale SA 5162 ($580 per week)
         3 Bedrooms  1 Bathroom  2 Carspaces

23 Ralph Street, Sturt SA 5047
         3 Bedrooms  1 Bathroom  1 Carspaces

41 Quintus Terrace, Dover Gardens SA 5048
         2 Bedrooms  1 Bathroom  2 Carspaces

Sheidow Park SA 5158
         3 Bedrooms  1 Bathroom  2 Carspaces

7 Barritt Street, Elizabeth Downs SA 5113 
         3 Bedrooms  1 Bathroom  3 Carspaces

Property available for rent:

37 Saint Alferd Drive, Parafield Gardens ($680 per week)
         3 Bedrooms  1 Bathroom  4 Carspaces
INSPECTION DETAILS
Inspection date: 15 April, 2026 - Wednesday
Inspection time: 4:00 PM - 4:15 PM

26 Jacaranda Drive, Salisbury East SA 5109 ($600 per week)
            3 Bedrooms  1 Bathroom  3 Carspaces
INSPECTION DETAILS
Inspection date: 15 April, 2026 - Wednesday
Inspection time: 4:45 PM - 5:00 PM

5 Aberdeen Lane, Andrews Farm SA 5114 ($600 per week)
            3 Bedrooms  2 Bathroom  1 Carspaces
INSPECTION DETAILS
Inspection date: 15 April, 2026 - Wednesday
Inspection time: 5:20 PM - 5:35 PM

23 Chelmsford Street, Craigmore SA5114 ($680 per week)
            4 Bedrooms  2 Bathroom  2 Carspaces

47 Enterprise Rd, Elizabeth East SA 5112 ($510 per week)
            3 Bedrooms  1 Bathroom  4 Carspaces

For more information please      
contact : 0882777567",,0,"Tuesday, April 14, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0LNybBmWFcv3aeSk2ZXFi5WFuPQ3PvMRx8T6jwMKnSfhNVni8VPQ2sqmZkT1xdTETl,0,0,Text,,,,,Lifetime,2373
1.39E+15,1.00E+14,Adelaide Nepal,"A fully furnished room is available for female , near tea tree plaza.
Curtin Avenue st Agnes 5097. Rent..170..( Including bills) 
message or call 0484379941",,0,"Tuesday, April 14, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0GBz2SqDhzgMG6EXhEwqERkiDmkCKpDFET1ez9mQfXhi6WYAi4MEhf149HxLx6RaHl,0,0,Text,,,,,Lifetime,546
1.39E+15,1.00E+14,Adelaide Nepal,"Looking for a support worker for immediate start in Morphett Vale for 3 days a week including weekend with potential additional days later.
Kindly send in your resume at
bishal@dsadl.com.au
Thank you.",,0,"Tuesday, April 14, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0RvGmQ1wCt6aouTKQ1wacd1eozUgsERRZChawtj7RyY8Bjy44bMNyeWycu4cJbBMhl,0,0,Text,,,,,Lifetime,3078
1.39E+15,1.00E+14,Adelaide Nepal,"Hello everyone, 
Im looking for a furnished room
(Plympton, Kurralta park, Goodwood, Torrensville, Prospect, Enfield, Brompton or around 5 6km from the city)

Im clean and responsible. 
( $ 170 - $ 210 inc. bills )
Thank you 
Contact : 0478 102 415 (text preferred)",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid027zNarzT3WqgZMQREwqCDsr6H2RhKrNpG1Fevsw3k5uDTWuqxjAQoT4oYnupNSrC8l,0,0,Text,,,,,Lifetime,1546
1.39E+15,1.00E+14,Adelaide Nepal,"Ford focus 2013 on sale :(Automatic)
103000km
Clean PPSR
Never been in accident
Rego till end of November2026.
Price : 9000$( can be negotiable)
Selling due to moving interstate
Location:ingle farm
Contact: 0404336447",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0hweh4ijHJiYUjDYfXbQ8Vw8zNSrf5t33eekSWbZGqZDMwNz67Nsyvbf4Y43WU3tql,0,0,Text,,,,,Lifetime,4404
1.39E+15,1.00E+14,Adelaide Nepal,"Hello Everyone,
If koi chitwan jadai hunu hunxa vanay please let me know. 1 ta laptop pathauna xa so. Thanks in advance.  Contact: 0433510214",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0UsqkMAz3WfoELCjeqMyVtoDXTANzJUUzhvE5cCW5XZUEUBCdVhcNdoaAgNJHmZfwl,0,0,Text,,,,,Lifetime,1254
1.39E+15,1.00E+14,Adelaide Nepal,"We're Hiring: Full-Time Sous chef – at Kadina SA
We are looking an experienced full-time Sous Chef to join our team at the Kadina Pub. The ideal candidate must have a strong background in pub-style cuisine and the ability to communicate effectively with staff in a fast-paced kitchen environment.
Sponsorship is available for the right candidate.
Contact 
0426946708",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0knSxHJz6NuU7LR1SRstvV11TqCdJEWctmMZpgiaRS5rcC9Li36NxcX88Pn17rwWbl,0,0,Text,,,,,Lifetime,3064
1.39E+15,1.00E+14,Adelaide Nepal,"Hello everyone,

Semi furnished single Room Available in South Plympton – Female Only
Semi furnished single room available in a 2-bedroom house for a girl.
💰Rent: $200/week( Cause it’s just 2 bedroom house and 2 single girl will be living)
⚡ Bills shared between 2 people
📍 Close to Castle Plaza, supermarkets, Indian grocery stores & public transport.
There would be only 2 people in the unit so it would be quiet and safe stay.

For contact:0426561378 ( Text only please)
Thank you!",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0YSFPHT5By6qcSgEkuAosYY3L15Aqq9yHHEk22yx4fqW9sBWhSY7bzJSxJRwY2jHhl,0,0,Text,,,,,Lifetime,821
1.39E+15,1.00E+14,Adelaide Nepal,"One single room is available for rent in Hove.
Hello everyone,
We are a friendly couple looking for a single boy or girl, non-smoker, no pets to share our 3-bedroom unit. The location is very convenient for public transport
• 3 min walk to the bus stop, 
• 8 min walk to the train station. 
The room is suitable for students or working professionals. We are looking for someone who is clean, respectful, and easy-going. For more details, please text on 0435142596 / 0416430372. Thank you.",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0Lep3h9waEWsZ1mKwP4ptjvZGK31sAEohp8xdCuxCaGmBVJHmzQakxSavr5i7uRtRl,0,0,Text,,,,,Lifetime,838
1.39E+15,1.00E+14,Adelaide Nepal,"Does anyone wants to send parcel/package to Nepal in a reasonable price, I have a lot of space available, leaving in 29th of April from here. 
Text only : 0494161075",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid02ju7rL4zxT72tKnxbCoJJ43SwM27KY1HxFynbXsAUZdcnCtLRMWyM8VimSj4FEvvDl,0,0,Text,,,,,Lifetime,1178
1.39E+15,1.00E+14,Adelaide Nepal,"Room for rent- St Marys 5042
* 1 room with BIR for a boy or girl in a 2 bedroom 1 bathroom house  , sharing with a couple
* Easy access to public transport, just a 5 minute walk to bus stops, parking for 1 available if needed
*can be made furnished or unfurnished
*Available from 23rd April
* Text on 0452199446 for more details",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid032qgXRUMGzcmUnYFC2UXhAbnGbb1ah6iKoYPY5PmcjeNvWBdZjorCqNDeAebgki2Jl,0,0,Text,,,,,Lifetime,595
1.39E+15,1.00E+14,Adelaide Nepal,"Room for rent- St Marys 5042
* 1 room with BIR for a boy or girl in a 2 bedroom 1 bathroom house  , sharing with a couple
* Easy access to public transport, just a 5 minute walk to bus stops, parking for 1 available if needed
*can be made furnished or unfurnished
*Available from 23rd April
* Text on 0452199446 for more details",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0AwHeRPWVqw9ep65iqnZPJxtY4icSbv6pWy1XAnevws3tDDgLb7rbF6dDG1Mcv898l,0,0,Text,,,,,Lifetime,897
1.39E+15,1.00E+14,Adelaide Nepal,"Room available for single room unit suitable single girl  2  minute working distance to bus stop near the Nepali grocery,
Per week rent 160 excluding bill 
Address: Plympton park 5038 
Text only : 0439942194",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0db3hCiPU9XTF9QVgHpGXgoMLjeiMJA9XEem6L67JrAoZPoRgDAxv3nUpwezLP3jul,0,0,Text,,,,,Lifetime,654
1.39E+15,1.00E+14,Adelaide Nepal,"Room available for a couple at Clovelly Park, 5042 
- 5 minutes walk to South Road bus stop
- 10 minutes walk to Train Station
- Perfect location for students studying in Flinders University
- Kind, generous, and chill housemates
-$250 per week excluding bills
Contact: 0451301357",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0TDjgv4TUPJUkm5bcRJ6uUtvhUzeC5K6afoxK47wLmdrqedmL4cX69M49WnTsS2qhl,0,0,Text,,,,,Lifetime,1299
1.39E+15,1.00E+14,Adelaide Nepal,"General Car Cleaning Job Available 🚗🧽
Locations: Regency Park & Klemzig (SA)
We are looking for a few cleaning staff for general car cleaning (not deep or steam cleaning).
Working Hours:
• Weekdays: 7:00 AM – 5:00 PM
• Weekends: 7:00 AM – 12:00 PM
Requirements:
• Valid driving licence
• Valid work rights in Australia
Training will be provided, but previous experience in car cleaning will be prioritised.
📞 For more details, please contact: 0499 652 350
Have a good one!",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0Xw6A5LZN6SQnpV5zVSoMiFbjYFrwSeRy4RjaDaGF8kAwKSCSdgKy4mJzgmReBFnkl,0,0,Text,,,,,Lifetime,5062
1.39E+15,1.00E+14,Adelaide Nepal,"🛏️ Couple Room for Rent — Holden Hill, SA

Spacious furnished room with built-in wardrobe.
Close to bus stops, easy access to shops, and just 20 mins drive to city.

📍 Quiet, convenient location
📞 Call or text: 0410 383 322",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0zmsyxNJg1DLkekr9Di14BA7ag3HoFPAUvczpLW8bEoS3kGv35HwTQV7FTscuo5v1l,0,0,Text,,,,,Lifetime,1015
1.39E+15,1.00E+14,Adelaide Nepal,"Hello Everyone 
Room available at Kurralta Park 5037(next to kurralta centre) Anzac highway 
For a Girl
2 mins Walking distance to coles and kmart
A house with 3 bed rooms and 1 spare sunroom with plenty of front and back yard(total 4 rooms) 

4 min drive to nepalese and Indian grocery 
8 mins drive to city
Suitable for Flinders University and colleges at CBD
Public transport: Close to Anzac highway, South road and 
Bus 241 and 167 

Available now

Rent: $180 per week( could negotiate to deserving new comers students only)

House will be sharing with friendly couple and 2.5 year kid.
Unfurnished now, but could provide furniture after discussion and requirements

Contact: 0426083963( text only please)",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0NfEGKxrE2zr3jzH9axVdvr8qbfec531itUas6AYYRvAJR6ZQVW8wE7Nc9EkkzLApl,0,0,Text,,,,,Lifetime,2936
1.39E+15,1.00E+14,Adelaide Nepal,"🏡 Room Available – $190/week (Excl. Bills)

Room available in a chill, friendly house 😊
Female preferred. Couples or 2 girls welcome to inspect (room is a good size).

💰 Rent:
• $190/week (single)
• $270/week (couple or 2 girls)

📍 Location: Unley suburb
Bus stop in front | 8 min drive to city | Gym opposite | Shops 5 min walk

✨ House vibe (important):
We’re easy-going, not strict — but we do expect basic respect:
• Clean kitchen & bathroom after use
• Small weekly clean (shared areas)
• No loud noise late night (after 11–12)

💬 We like a peaceful, clean home — no stress, no drama.
If you’re not into cleaning or following simple house rules, this place might not be for you.

📄 Minimum contract: 6 months

📞 0415 072 958
⚠️ Message only if genuinely interested",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid0bGcMqhb71Lah5c2Pix9kBRTB5HaDxPNvMr2LcjsNRtdNZ73BfriSbgyp7VwXvrYxl,0,0,Text,,,,,Lifetime,5346
1.39E+15,1.00E+14,Adelaide Nepal,"Looking for single girl/boy to share a 3 bedroom house fully furnished rooms  10min away to city, 5 min away for Asian grocery very convenient transport ( Brooklyn park) 
Please msg me 
0452641882 for inquiries",,0,"Monday, April 13, 2026",N/A,https://www.facebook.com/adelaidenepals/posts/pfbid022GGKkgJQLvFfTMVVCbDspMrUgxw1UPLRyYKGvjfdqqiwUmnWGaJouWS2u8jCB93Cl,0,0,Text,,,,,Lifetime,939
